ts,cs,lat,long,o,v,a,hr,pl,mp,sl,x,y
2024-10-23 15:51:21,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.33,0.0,0.0
2024-10-23 15:51:22,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.43600000000000005,0.0,0.0
2024-10-23 15:51:23,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.41100000000000003,0.0,0.0
2024-10-23 15:51:24,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29300000000000004,0.0,0.403,0.0,0.0
2024-10-23 15:51:25,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,0.0,0.583,0.0,0.0
2024-10-23 15:51:26,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.617,0.0,0.884,0.0,0.0
2024-10-23 15:51:27,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762,0.0,0.391,0.0,0.0
2024-10-23 15:51:28,52.0,7.4699764,-24.38715694,0.0,0.006,0.002,0.0,0.842,0.033,0.274,1910901.2100000002,349338.478
2024-10-23 15:51:29,52.0,37.35004315,-121.93568158999999,1.641,0.211,0.2,0.0,0.907,0.9890000000000001,0.367,9554486.412,1746674.1239999998
2024-10-23 15:51:30,52.0,37.35014725,-121.93560963,10.428,0.268,0.079,0.0,1.035,1.119,0.531,9554473.306,1746662.318
2024-10-23 15:51:31,52.0,37.350181830000004,-121.93558474,15.006,0.266,-0.022,0.0,1.19,1.241,0.604,9554468.876,1746658.3960000002
2024-10-23 15:51:32,52.0,37.350195989999996,-121.93557585,16.895,0.158,-0.10200000000000001,0.0,1.2710000000000001,0.623,0.148,9554467.162,1746656.791
2024-10-23 15:51:33,52.0,37.35019249,-121.93557381999999,18.158,0.398,0.27,0.0,1.3130000000000002,2.0940000000000003,0.195,9554467.253999999,1746657.1809999999
2024-10-23 15:51:34,52.0,37.35019166,-121.93557261000001,18.32,0.15,-0.259,0.0,1.36,0.6020000000000001,0.155,9554467.219,1746657.2719999999
2024-10-23 15:51:35,52.0,37.35019,-121.93557548000001,18.47,0.146,-0.018,0.0,1.3809999999999998,0.616,0.044,9554467.562,1746657.463
2024-10-23 15:51:36,52.0,37.35017926,-121.93558811,18.47,0.013000000000000001,-0.137,0.0,1.395,0.063,0.063,9554469.325,1746658.689
2024-10-23 15:51:37,52.0,37.35016887,-121.93560025,18.47,0.0,-0.012,0.0,1.4069999999999998,0.005,0.041,9554471.024,1746659.875
2024-10-23 15:51:38,52.0,37.35015941,-121.9356141,18.47,0.0,0.0,0.0,1.418,0.0,0.048,9554472.790000001,1746660.9559999998
2024-10-23 15:51:39,52.0,37.35015152,-121.93562571,18.47,0.0,0.0,0.0,1.432,0.0,0.06,9554474.268000001,1746661.861
2024-10-23 15:51:40,52.0,37.3501482,-121.93563128000001,18.47,0.02,0.018,0.0,1.452,0.08,0.075,9554474.944,1746662.241
2024-10-23 15:51:41,52.0,37.350145600000005,-121.93563586,18.47,0.026000000000000002,0.009,0.0,1.47,0.122,0.076,9554475.489,1746662.5420000001
2024-10-23 15:51:42,52.0,37.35014582,-121.93563723,18.47,0.037,0.007000000000000001,0.0,1.4869999999999999,0.163,0.095,9554475.583,1746662.5170000002
2024-10-23 15:51:43,52.0,37.350150819999996,-121.93563499,18.939,0.252,0.22599999999999998,0.0,1.518,1.158,0.11100000000000002,9554475.05,1746661.952
2024-10-23 15:51:44,52.0,37.350149800000004,-121.93563418,19.742,0.277,0.0040000000000000036,0.0,1.554,1.3359999999999999,0.185,9554475.057,1746662.065
2024-10-23 15:51:45,52.0,37.3501495,-121.9356347,20.333,0.174,-0.09899999999999999,0.0,1.6019999999999999,0.656,0.2,9554475.118999999,1746662.1
2024-10-23 15:51:46,52.0,37.3501495,-121.9356334,21.240000000000002,0.11200000000000002,-0.059,0.0,1.641,0.49000000000000005,0.10600000000000001,9554475.018000001,1746662.098
2024-10-23 15:51:47,52.0,37.3501521,-121.93562979000001,21.25,0.078,-0.031,0.0,1.666,0.33799999999999997,0.098,9554474.548999999,1746661.8
2024-10-23 15:51:48,52.0,37.3501525,-121.93562850999999,21.25,0.026000000000000002,-0.052000000000000005,0.0,1.687,0.119,0.063,9554474.419,1746661.754
2024-10-23 15:51:49,52.0,37.35014678,-121.93563508,21.25,0.034999999999999996,0.009,0.0,1.704,0.148,0.101,9554475.345,1746662.4070000001
2024-10-23 15:51:50,52.0,37.35015052999999,-121.93563187,21.25,0.024,-0.01,0.0,1.7309999999999999,0.10500000000000001,0.10600000000000001,9554474.824,1746661.9789999998
2024-10-23 15:51:51,52.0,37.35015103,-121.93563104,21.25,0.034,0.008,0.0,1.7600000000000002,0.143,0.1,9554474.722,1746661.9219999998
2024-10-23 15:51:52,52.0,37.35014769,-121.93563535000001,21.452,0.079,0.038,0.0,1.791,0.359,0.189,9554475.301,1746662.304
2024-10-23 15:51:53,52.0,37.350151999999994,-121.93563147,22.17,0.158,0.089,0.0,1.8380000000000003,0.688,0.158,9554474.687,1746661.815
2024-10-23 15:51:54,52.0,37.350153309999996,-121.93562616,23.253999999999998,0.217,0.046,0.0,1.8719999999999999,1.001,0.101,9554474.175,1746661.6579999998
2024-10-23 15:51:55,52.0,37.35016633,-121.93561881999999,25.078,0.264,0.051000000000000004,0.0,1.8939999999999997,1.134,0.088,9554472.666,1746660.184
